Year,NumCases,Region,,,,
2000,207000,Africa,,,,
2001,212000,Africa,,,,
2002,209000,Africa,,,,
2003,211000,Africa,,,,
2004,212000,Africa,,,,
2005,209000,Africa,,,,
2006,209000,Africa,,,,
2007,209000,Africa,,,,
2008,208000,Africa,,,,
2009,212000,Africa,,,,
2010,212000,Africa,,,,
2011,209000,Africa,,,,
2012,209000,Africa,,,,
2013,207000,Africa,,,,
2014,204000,Africa,,,,
2015,204000,Africa,,,,
2016,205000,Africa,,,,
2017,213000,Africa,,,,
2018,211000,Africa,,,,
2019,213000,Africa,,,,
2020,228000,Africa,,,,
2000,22900,SEAsia,,,,
2001,23200,SEAsia,,,,
2002,22100,SEAsia,,,,
2003,23200,SEAsia,,,,
2004,25500,SEAsia,,,,
2005,27300,SEAsia,,,,
2006,22700,SEAsia,,,,
2007,22200,SEAsia,,,,
2008,23400,SEAsia,,,,
2009,23800,SEAsia,,,,
2010,24600,SEAsia,,,,
2011,20700,SEAsia,,,,
2012,17800,SEAsia,,,,
2013,13400,SEAsia,,,,
2014,12900,SEAsia,,,,
2015,13300,SEAsia,,,,
2016,13800,SEAsia,,,,
2017,10300,SEAsia,,,,
2018,7500,SEAsia,,,,
2019,6300,SEAsia,,,,
2020,5000,SEAsia,,,,
2000,2805,Wpacific,,,,
2001,2477,Wpacific,,,,
2002,2192,Wpacific,,,,
2003,2359,Wpacific,,,,
2004,2712,Wpacific,,,,
2005,2301,Wpacific,,,,
2006,2436,Wpacific,,,,
2007,1847,Wpacific,,,,
2008,1673,Wpacific,,,,
2009,2225,Wpacific,,,,
2010,1677,Wpacific,,,,
2011,1422,Wpacific,,,,
2012,1680,Wpacific,,,,
2013,1756,Wpacific,,,,
2014,2010,Wpacific,,,,
2015,1247,Wpacific,,,,
2016,1472,Wpacific,,,,
2017,1576,Wpacific,,,,
2018,1693,Wpacific,,,,
2019,1436,Wpacific,,,,
2020,1705,Wpacific,,,,
2000,7000,Mediterr,,,,
2001,7100,Mediterr,,,,
2002,6800,Mediterr,,,,
2003,6400,Mediterr,,,,
2004,5300,Mediterr,,,,
2005,5500,Mediterr,,,,
2006,5500,Mediterr,,,,
2007,4800,Mediterr,,,,
2008,3700,Mediterr,,,,
2009,3600,Mediterr,,,,
2010,4500,Mediterr,,,,
2011,4700,Mediterr,,,,
2012,4400,Mediterr,,,,
2013,4200,Mediterr,,,,
2014,4400,Mediterr,,,,
2015,4300,Mediterr,,,,
2016,5300,Mediterr,,,,
2017,5400,Mediterr,,,,
2018,5500,Mediterr,,,,
2019,5500,Mediterr,,,,
2020,5700,Mediterr,,,,
2000,1540,Americas,,,,
2001,1297,Americas,,,,
2002,1183,Americas,,,,
2003,1159,Americas,,,,
2004,1147,Americas,,,,
2005,1273,Americas,,,,
2006,1097,Americas,,,,
2007,989,Americas,,,,
2008,696,Americas,,,,
2009,688,Americas,,,,
2010,818,Americas,,,,
2011,615,Americas,,,,
2012,585,Americas,,,,
2013,576,Americas,,,,
2014,475,Americas,,,,
2015,602,Americas,,,,
2016,688,Americas,,,,
2017,946,Americas,,,,
2018,929,Americas,,,,
2019,894,Americas,,,,
2020,653,Americas,,,,
